timestamp,symbol,qty,current_price,market_value,unrealized_pl,imv,combined_market_value,pnl_pct
2026-08-31T14:48:12.116476-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:49:12.078409-04:00,SPY260904C00766000,-100,3.68,-36800.0,6400.0,,,
2026-08-31T14:49:12.078409-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:49:12.078409-04:00,SPY260904P00756000,100,1.04,10400.0,-100.0,,,
2026-08-31T14:49:12.078409-04:00,SPY260904P00766000,-100,3.83,-38300.0,-2900.0,,,
2026-08-31T14:49:12.078409-04:00,TOTAL,,,-60200.0,,61500.0,1300.0,2.11
2026-08-31T14:50:12.105162-04:00,SPY260904C00766000,-100,3.72,-37200.0,6000.0,,,
2026-08-31T14:50:12.105162-04:00,SPY260904C00776000,100,0.46,4600.0,-2000.0,,,
2026-08-31T14:50:12.105162-04:00,SPY260904P00756000,100,1.02,10200.0,-300.0,,,
2026-08-31T14:50:12.105162-04:00,SPY260904P00766000,-100,3.78,-37800.0,-2400.0,,,
2026-08-31T14:50:12.105162-04:00,TOTAL,,,-60200.0,,61500.0,1300.0,2.11
2026-08-31T14:51:12.186379-04:00,SPY260904C00766000,-100,3.68,-36800.0,6400.0,,,
2026-08-31T14:51:12.186379-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:51:12.186379-04:00,SPY260904P00756000,100,1.04,10400.0,-100.0,,,
2026-08-31T14:51:12.186379-04:00,SPY260904P00766000,-100,3.82,-38200.0,-2800.0,,,
2026-08-31T14:51:12.186379-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:52:12.126260-04:00,SPY260904C00766000,-100,3.7,-37000.0,6200.0,,,
2026-08-31T14:52:12.126260-04:00,SPY260904C00776000,100,0.45,4500.0,-2100.0,,,
2026-08-31T14:52:12.126260-04:00,SPY260904P00756000,100,1.03,10300.0,-200.0,,,
2026-08-31T14:52:12.126260-04:00,SPY260904P00766000,-100,3.79,-37900.0,-2500.0,,,
2026-08-31T14:52:12.126260-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:53:12.139546-04:00,SPY260904C00766000,-100,3.73,-37300.0,5900.0,,,
2026-08-31T14:53:12.139546-04:00,SPY260904C00776000,100,0.46,4600.0,-2000.0,,,
2026-08-31T14:53:12.139546-04:00,SPY260904P00756000,100,1.01,10100.0,-400.0,,,
2026-08-31T14:53:12.139546-04:00,SPY260904P00766000,-100,3.75,-37500.0,-2100.0,,,
2026-08-31T14:53:12.139546-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:54:12.198616-04:00,SPY260904C00766000,-100,3.83,-38300.0,4900.0,,,
2026-08-31T14:54:12.198616-04:00,SPY260904C00776000,100,0.48,4800.0,-1800.0,,,
2026-08-31T14:54:12.198616-04:00,SPY260904P00756000,100,0.97,9700.0,-800.0,,,
2026-08-31T14:54:12.198616-04:00,SPY260904P00766000,-100,3.62,-36200.0,-800.0,,,
2026-08-31T14:54:12.198616-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:55:12.178384-04:00,SPY260904C00766000,-100,3.79,-37900.0,5300.0,,,
2026-08-31T14:55:12.178384-04:00,SPY260904C00776000,100,0.47,4700.0,-1900.0,,,
2026-08-31T14:55:12.178384-04:00,SPY260904P00756000,100,0.98,9800.0,-700.0,,,
2026-08-31T14:55:12.178384-04:00,SPY260904P00766000,-100,3.67,-36700.0,-1300.0,,,
2026-08-31T14:55:12.178384-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T14:56:12.224886-04:00,SPY260904C00766000,-100,3.8,-38000.0,5200.0,,,
2026-08-31T14:56:12.224886-04:00,SPY260904C00776000,100,0.47,4700.0,-1900.0,,,
2026-08-31T14:56:12.224886-04:00,SPY260904P00756000,100,0.98,9800.0,-700.0,,,
2026-08-31T14:56:12.224886-04:00,SPY260904P00766000,-100,3.67,-36700.0,-1300.0,,,
2026-08-31T14:56:12.224886-04:00,TOTAL,,,-60200.0,,61500.0,1300.0,2.11
2026-08-31T14:57:12.235530-04:00,SPY260904C00766000,-100,3.85,-38500.0,4700.0,,,
2026-08-31T14:57:12.235530-04:00,SPY260904C00776000,100,0.49,4900.0,-1700.0,,,
2026-08-31T14:57:12.235530-04:00,SPY260904P00756000,100,0.96,9600.0,-900.0,,,
2026-08-31T14:57:12.235530-04:00,SPY260904P00766000,-100,3.6,-36000.0,-600.0,,,
2026-08-31T14:57:12.235530-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:58:12.234362-04:00,SPY260904C00766000,-100,3.83,-38300.0,4900.0,,,
2026-08-31T14:58:12.234362-04:00,SPY260904C00776000,100,0.48,4800.0,-1800.0,,,
2026-08-31T14:58:12.234362-04:00,SPY260904P00756000,100,0.97,9700.0,-800.0,,,
2026-08-31T14:58:12.234362-04:00,SPY260904P00766000,-100,3.62,-36200.0,-800.0,,,
2026-08-31T14:58:12.234362-04:00,TOTAL,,,-60000.0,,61500.0,1500.0,2.44
2026-08-31T14:59:12.261395-04:00,SPY260904C00766000,-100,3.86,-38600.0,4600.0,,,
2026-08-31T14:59:12.261395-04:00,SPY260904C00776000,100,0.48,4800.0,-1800.0,,,
2026-08-31T14:59:12.261395-04:00,SPY260904P00756000,100,0.96,9600.0,-900.0,,,
2026-08-31T14:59:12.261395-04:00,SPY260904P00766000,-100,3.59,-35900.0,-500.0,,,
2026-08-31T14:59:12.261395-04:00,TOTAL,,,-60100.0,,61500.0,1400.0,2.28
2026-08-31T15:00:12.299949-04:00,SPY260904C00766000,-100,3.87,-38700.0,4500.0,,,
2026-08-31T15:00:12.299949-04:00,SPY260904C00776000,100,0.48,4800.0,-1800.0,,,
